Item#,UPC,Status,Description,Ordered,To Ship,Backordered,Sell Price,Price UM,Current Price,Retail
870202504,185227000153,,HJ250 PRUNER SHEATH W/BELT CLIP,0000000005.00000,0000000005.00000,0000000000.00000,0000000002.60000,CD,0000000002.95000,0000000004.19000
870270162,185227000160,,H355 MICRO BLADE PRUNERSS HYDROPONIC,0000000004.00000,0000000004.00000,0000000000.00000,0000000005.21000,EA,0000000005.21000,0000000008.99000
880100698,755625531803,,GTS-SH HAND TROWEL6" ASH HNDL(30621),0000000012.00000,0000000012.00000,0000000000.00000,0000000001.34000,EA,0000000001.57000,0000000002.59000
880104211,755625010421,,ROT-EDG ROTARY LAWN EDGER DUALWHEEL48"ASH HNDL TRUTOUGH32100,0000000002.00000,0000000002.00000,0000000000.00000,0000000021.32000,EA,0000000022.11000,0000000038.99000
166111351,039800011329,,E91BP4 "AA" ENERGIZER BATTERY 4/CD                     D,0000000012.00000,0000000012.00000,0000000000.00000,0000000003.73000,CD,0000000003.73000,0000000005.49000
771169554,732221116955,,11695 9-15-13 15# AZALEA/EVERGREEN FOOD PLUS SYSTEMIC,0000000002.00000,0000000002.00000,0000000000.00000,0000000015.12000,EA,0000000015.12000,0000000023.99000
450140108,078627995214,,SNTEC025 25' 3TUBE SPRINKLER  CAP(3TEC25),0000000010.00000,0000000010.00000,0000000000.00000,0000000006.77000,EA,0000000006.77000,0000000012.99000
450151162,078627125116,9,SNUER12025 1/2"X25' SOAKER HOSE,0000000010.00000,0000000010.00000,0000000000.00000,0000000005.93000,EA,0000000005.93000,0000000011.99000
450151238,078627125123,9,SNUER12050 1/2"X50' SOAKER HOSE,0000000010.00000,0000000010.00000,0000000000.00000,0000000010.56000,EA,0000000010.56000,0000000020.99000
394239420,744897082113,,T2910W MED PF VINYL GLOVE 5MIL 100/BOX(2910W),0000000001.00000,0000000001.00000,0000000000.00000,0000000002.90000,BOX,0000000002.90000,0000000006.49000
033418518,639751401851,,WG515AC XS W.GRIP NICELY NIMBLE AST COLOR GARDEN GLOVE,0000000012.00000,0000000000.00000,0000000000.00000,0000000002.99000,PR,0000000002.99000,0000000006.49000
033418526,639751401813,,WG515AC SM W.GRIP NICELY NIMBLE AST COLOR GARDEN GLOVE,0000000012.00000,0000000012.00000,0000000000.00000,0000000002.99000,PR,0000000002.99000,0000000006.49000
033418534,639751401820,,WG515AC M W.GRIP NICELY NIMBLE AST COLOR GARDEN GLOVE,0000000012.00000,0000000006.00000,0000000000.00000,0000000002.99000,PR,0000000002.99000,0000000006.49000
033418542,639751401837,,WG515AC L W.GRIP NICELY NIMBLE ASST COLOR GARDEN GLOVE,0000000012.00000,0000000012.00000,0000000000.00000,0000000002.99000,PR,0000000002.99000,0000000006.49000
880118393,755625031839,9,ROT-S-EDG LAWN EDGESGL WHEEL42" ASH HNDL(34161),0000000001.00000,0000000001.00000,0000000000.00000,0000000016.46000,EA,0000000016.71000,0000000029.99000
771165057,732221106505,,10650 4-10-3 GAL. ROOT STIMULATOR,0000000006.00000,0000000006.00000,0000000000.00000,0000000007.32000,EA,0000000007.32000,0000000011.99000
141856898,037321009252,,925 1.25 OZ BONTONE ROOTING POWDER,0000000012.00000,0000000012.00000,0000000000.00000,0000000003.11000,EA,0000000003.11000,0000000004.79000
771169331,732221336933,,33693 GAL KILLZALL(41% CONC),0000000002.00000,0000000002.00000,0000000000.00000,0000000021.81000,EA,0000000021.81000,0000000036.99000
771160488,732221106048,,10605F 32OZ RTU YIELD BOOSTERCONTROL(10604),0000000012.00000,0000000012.00000,0000000000.00000,0000000003.95000,EA,0000000003.95000,0000000006.49000
771120656,732221102064,,10206 QT TREE & SHRUB SYST DRENCH,0000000006.00000,0000000006.00000,0000000000.00000,0000000009.00000,EA,0000000009.00000,0000000014.99000
310150859,024654550858,,5085 TOMATO & VEG. INSECT KILLER RTU32 OZ,0000000012.00000,0000000000.00000,0000000000.00000,0000000005.53000,EA,0000000005.53000,0000000009.99000
471011239,651124001123,,112-6 1QT.LIQUID FENCEDEERRABBITRTU,0000000012.00000,0000000012.00000,0000000000.00000,0000000008.57000,EA,0000000008.57000,0000000012.99000
450151303,078627125130,9,SNUER12075 1/2"X75' SOAKER HOSE,0000000005.00000,0000000005.00000,0000000000.00000,0000000016.03000,EA,0000000016.03000,0000000030.99000
771170347,732221320734,,32073 GALKILLZALL RTU,0000000004.00000,0000000004.00000,0000000000.00000,0000000006.82000,EA,0000000006.82000,0000000010.99000
141825059,037321002505,,250 QT DEAD BUG BREWRTU,0000000012.00000,0000000012.00000,0000000000.00000,0000000005.12000,QT,0000000005.12000,0000000008.49000
341840007,022671400002,,100099247 32 OZ ALASKA FISH FERT.EMULSION5-1-1(09301100),0000000012.00000,0000000012.00000,0000000000.00000,0000000004.70000,EA,0000000004.70000,0000000007.49000
341860062,022671600006,,100099249 GAL ALASKA FISH FERT.EMULSION5-1-1(09301200),0000000006.00000,0000000006.00000,0000000000.00000,0000000012.73000,EA,0000000012.73000,0000000019.99000
771161239,732221106123,,10612 5-1-1 QT FISH EMULSION PLANT FOOD,0000000012.00000,0000000012.00000,0000000000.00000,0000000005.65000,EA,0000000005.65000,0000000008.99000
170020655,073257002097,,10X25 4 MIL BLK PLASTIC SHEET,0000000003.00000,0000000003.00000,0000000000.00000,0000000008.32000,RL,0000000008.32000,0000000012.99000
034918862,049206241886,,2418800 HOSE CART NEVER LEAK 225',0000000002.00000,0000000002.00000,0000000000.00000,0000000040.49000,EA,0000000040.49000,0000000061.99000
087077319,034411927731,,270025G 5/8"X25' WEEPER SPRINKLER HOSE(27025G),0000000004.00000,0000000004.00000,0000000000.00000,0000000006.81000,EA,0000000006.81000,0000000011.99000
087000386,034411000038,,05V ZINC SHUT-OFF VALVE,0000000006.00000,0000000006.00000,0000000000.00000,0000000002.88000,CD,0000000002.88000,0000000004.99000
087001053,034411005002,,05HCC BRASS HOSE CAP,0000000004.00000,0000000004.00000,0000000000.00000,0000000002.81000,CD,0000000002.81000,0000000004.79000
087009155,034411000151,,15 ZINC "Y" W/SHUT OFFS                                D,0000000006.00000,0000000006.00000,0000000000.00000,0000000003.78000,CD,0000000003.78000,0000000005.99000
087009171,034411000175,,17 POLY "Y" W/SHUT OFFS,0000000006.00000,0000000006.00000,0000000000.00000,0000000001.99000,CD,0000000001.99000,0000000003.59000
087080016,034411028001,,300GTS SINGLE OUTLET ELECTRONIC TIMER,0000000001.00000,0000000001.00000,0000000000.00000,0000000023.45000,EA,0000000023.45000,0000000038.99000
430216408,035355010640,,1064 OUTDOOR CITRONELLA LAMP OIL 64 OZ(MOSQUITO REPELLENT),0000000006.00000,0000000006.00000,0000000000.00000,0000000008.81000,EA,0000000008.81000,0000000016.99000
